uuid,title,author,abstract,Keywords,label
24,Allelic variation in the Arabidopsis TNL CHS3/CSA1 immune receptor pair reveals two functional cell-death regulatory modes,"Yu Yang,Nak Hyun Kim,Volkan Cevik,Pierre Jacob,Li Wan,Oliver J Furzer,Jeffery L Dangl,Yu Yang,Nak Hyun Kim,Volkan Cevik,Pierre Jacob,Li Wan,Oliver J Furzer,Jeffery L Dangl","Some plant NLR immune receptors are encoded in head-to-head ""sensor-executor"" pairs that function together. Alleles of the NLR pair CHS3/CSA1 form three clades. The clade 1 sensor CHS3 contains an integrated domain (ID) with homology to regulatory domains, which is lacking in clades 2 and 3. In this study, we defined two cell-death regulatory modes for CHS3/CSA1 pairs. One is mediated by ID domain on clade 1 CHS3, and the other relies on CHS3/CSA1 pairs from all clades detecting perturbation of an associated pattern-recognition receptor (PRR) co-receptor. Our data support the hypothesis that an ancestral Arabidopsis CHS3/CSA1 pair gained a second recognition specificity and regulatory mechanism through ID acquisition while retaining its original specificity as a ""guard"" against PRR co-receptor perturbation. This likely comes with a cost, since both ID and non-ID alleles of the pair persist in diverse Arabidopsis populations through balancing selection.",BAK1; CHS3; CSA1; co-evolution; guard hypothesis; paired NLR; plant immune system; specialization.,1
25,Silver nanoparticles from AgNO3-affinin complex synthesized by an ecofriendly route: chitosan-based electrospun composite production,"Bedolla-Cazares, Fernando; Hernandez-Marcelo, Perla E.; Gomez-Hurtado, Mario A.; Rodriguez-Garcia, Gabriela; del Rio, Rosa E.; Lopez-Castro, Yliana; Pablo Garcia-Merinos, Juan; Martin Torres-Valencia, J.; Betzabe Gonzalez-Campos, J.","A novel nanofibrous chitosan-based composite containing affinin and silver nanoparticles is obtained by electrospinning. Silver nanoparticles are synthesized by sunlight photoreduction of the metal complex [Ag-2-(affinin)](NO3)(2) in polymeric solution, via a green one-pot methodology, wherein chitosan and affinin act as reducing, dispersing and stabilizing agent.",Biocomposite; Silver nanoparticles; Metal complex; Chitosan nanofibers; Sunlight photoreduction,0
26,Investigating the energy-environmental Kuznets curve under panel quantile regression: a global perspective,"Muhammad Iftikhar Ul Husnain,Sisay Demissew Beyene,Kentaka Aruga,Muhammad Iftikhar Ul Husnain,Sisay Demissew Beyene,Kentaka Aruga","Energy is regarded as an engine of economic growth and an important ingredient of human survival and development, but it can lead to deterioration of environmental quality. The study investigates the energy environmental Kuznets curve (EEKC) during the 1990-2017 period for 144 countries using models for total energy, renewable energy, and non-renewable energy consumptions. We employ panel mean and quantile regressions, accounting for individual and distributional heterogeneities. It is found that the EEKC sustains among the higher middle-income countries while it cannot be verified at some lower-income quantiles due to the heterogeneous nature of the different groups of countries. The relationship between economic growth, total energy, and non-renewable energy consumption is positive and non-linear. The quantile estimations revealed mixed (positive and non-linear, inverted U-shape, U-shape, and N-shape) EEKC. The maximum and minimum turning values of GDP per capita for total energy consumption (is 43,201.58 and 89,630.49), for renewable energy consumption (53,535.07 and 89,869.41), and for non-renewable energy consumption (42,188.16 and 89,487.71). Urbanization and population growth had positive impacts on energy consumption while these effects become more significant as moving from low to high-income quantiles. The study implies that while the developed nations can adopt energy-efficient policies without compromising on the growth momentum and environment, this might be not recommended for the developing nations and it would be preferable for these countries to ""grow first and clean up later."" The study indicates the importance of the developed nations to support the developing countries to achieve economic growth along the EEKC by transferring energy-efficient technologies.",Energy; Environment; Environmental Kuznets curve; Population growth; Quantile regression; Urbanization.,1
27,Domain Adaptation for Microscopy Imaging,"Becker, Carlos; Christoudias, C. Mario; Fua, Pascal","Electron and light microscopy imaging can now deliver high-quality image stacks of neural structures. However, the amount of human annotation effort required to analyze them remains a major bottleneck. While machine learning algorithms can be used to help automate this process, they require training data, which is time-consuming to obtain manually, especially in image stacks. Furthermore, due to changing experimental conditions, successive stacks often exhibit differences that are severe enough to make it difficult to use a classifier trained for a specific one on another. This means that this tedious annotation process has to be repeated for each new stack. In this paper, we present a domain adaptation algorithm that addresses this issue by effectively leveraging labeled examples across different acquisitions and significantly reducing the annotation requirements. Our approach can handle complex, nonlinear image feature transformations and scales to large microscopy datasets that often involve high-dimensional feature spaces and large 3D data volumes. We evaluate our approach on four challenging electron and light microscopy applications that exhibit very different image modalities and where annotation is very costly. Across all applications we achieve a significant improvement over the state-of-the-art machine learning methods and demonstrate our ability to greatly reduce human annotation effort.",AdaBoost; boosting; domain adaptation; electron and light microscopy; machine learning; transfer learning,1
28,Breathing is coupled with voluntary initiation of mental imagery,"Hyeong-Dong Park,Timothy Piton,Oliver A Kannape,Niall W Duncan,Kang-Yun Lee,Timothy J Lane,Olaf Blanke,Hyeong-Dong Park,Timothy Piton,Oliver A Kannape,Niall W Duncan,Kang-Yun Lee,Timothy J Lane,Olaf Blanke","Previous research has suggested that bodily signals from internal organs are associated with diverse cortical and subcortical processes involved in sensory-motor functions, beyond homeostatic reflexes. For instance, a recent study demonstrated that the preparation and execution of voluntary actions, as well as its underlying neural activity, are coupled with the breathing cycle. In the current study, we investigated whether such breathing-action coupling is limited to voluntary motor action or whether it is also present for mental actions not involving any overt bodily movement. To answer this question, we recorded electroencephalography (EEG), electromyography (EMG), and respiratory signals while participants were conducting a voluntary action paradigm including self-initiated motor execution (ME), motor imagery (MI), and visual imagery (VI) tasks. We observed that the voluntary initiation of ME, MI, and VI are similarly coupled with the respiration phase. In addition, EEG analysis revealed the existence of readiness potential (RP) waveforms in all three tasks (i.e., ME, MI, VI), as well as a coupling between the RP amplitude and the respiratory phase. Our findings show that the voluntary initiation of both imagined and overt action is coupled with respiration, and further suggest that the breathing system is involved in preparatory processes of voluntary action by contributing to the temporal decision of when to initiate the action plan, regardless of whether this culminates in overt movements.",Mental imagery; Readiness potentials; Respiration; Voluntary action.,1
29,"Animal pose estimation: A closer look at the state-of-the-art, existing gaps and opportunities","Jiang, Le; Lee, Caleb; Teotia, Divyang; Ostadabbas, Sarah","Over the past few years, research on animal pose estimation in computer vision field has grown in many aspects such as 2D and 3D pose estimation, 3D mesh reconstruction, and behavior prediction. Promoted by deep learning, more and more animal pose estimation tools and animal pose datasets have also been made publicly available. However, compared to human pose estimation, which already has high accuracy and high applicability for complex scenes, animal pose estimation is still at a preliminary stage. The huge domain shift between each species, the scarce datasets, and uncooperative research subjects all pose intractable challenges to the development of robust and accurate animal pose estimation algorithms. In this review paper, we summarize the recent (from 2013 to 2021) work in animal pose estimation from computer vision perspective in order to present the state-of-the-art approaches and highlight the challenges they face in this field. We first categorize the various methods of animal pose estimation and present them according to several keywords. Also, we sort and introduce the released annotated image, video, and 3D models of animal poses as well as a promising substitute for real dataset. We also report the performances of the existing algorithms and visualize their results. Finally, we provide an in-depth analysis of the persisting obstacles in this field based on existing work, and offer potential solutions.",Animal pose estimation; Comparative analysis; 3D mesh reconstruction; Convolutional neural networks; Synthetic datasets; Animal behavior,0
30,"Isolation of a diphenylamine-degrading bacterium and characterization of its metabolic capacities, bioremediation and bioaugmentation potential","Chiara Perruchon,Christos Batianis,Stelios Zouborlis,Evangelia S Papadopoulou,Spyridon Ntougias,Sotirios Vasileiadis,Dimitrios G Karpouzas,Chiara Perruchon,Christos Batianis,Stelios Zouborlis,Evangelia S Papadopoulou,Spyridon Ntougias,Sotirios Vasileiadis,Dimitrios G Karpouzas","The antioxidant diphenylamine (DPA) is used in fruit-packaging plants for the control of the physiological disorder apple scald. Its use results in the production of DPA-contaminated wastewater which should be treated before finally discharged. Biological treatment systems using tailored-made microbial inocula with specific catabolic activities comprise an appealing and sustainable solution. This study aimed to isolate DPA-degrading bacteria, identify the metabolic pathway of DPA and evaluate their potential for future implementation in bioremediation and biodepuration applications. A Pseudomonas putida strain named DPA1 able to rapidly degrade and utilize DPA as the sole C and N source was enriched from a DPA-contaminated soil. The isolated strain degraded spillage-level concentrations of DPA in liquid culture (2000 mg L(-1)) and in contaminated soil (1000 mg kg(-1)) and metabolized DPA via the transient formation of aniline and catechol. Further evidence for the bioremediation and biodepuration potential of the P. putida strain DPA1 was provided by its capacity to degrade the post-harvest fungicide ortho-phenylphenol (OPP), concurrently used by the fruit-packaging plants, although at slower rates and DPA in a wide range of pH (4.5-9) and temperatures (15-37 °C). These findings revealed the high potential of the P. putida strain DPA1 for use in future soil bioremediation strategies and/or as start-up inocula in wastewater biodepuration systems.",Biodepuration; Bioremediation; Diphenylamine; Fruit-packaging industry; Pesticide biodegradation; Pseudomonas putida.,1
31,Estimating the selectivity of LIKE queries using pattern-based histograms,"Aytimur, Mehmet; Cakmak, Ali","Accurate cost and time estimation of a query is one of the major success indicators for database management systems. SQL allows the expression of flexible queries on text-formatted data. The LIKE operator is used to search for a specified pattern (e.g., LIKE ""luck%"") in a string database. It is vital to estimate the selectivity of such flexible predicates for the query optimizer to choose an efficient execution plan. In this paper, we study the problem of estimating the selectivity of a LIKE query predicate over a bag of strings. We propose a new type of pattern-based histogram structure to summarize the data distribution in a particular column. More specifically, we first mine sequential patterns over a given string database and then construct a special histogram out of the mined patterns. During query optimization time, pattern-based histograms are exploited to estimate the selectivity of a LIKE predicate. The experimental results on a real dataset from DBLP show that the proposed technique outperforms the state of the art for generic LIKE queries like %s(1)%s(2)%...%s(n) % where s(i) represents one or more characters. What is more, the proposed histogram structure requires more than two orders of magnitude smaller memory space, and the estimation time is almost an order of magnitude less in comparison to the state of the art.",Selectivity estimation; histograms; data management; sequence mining,0
32,Confined Excitons in Spherical-Like Halide Perovskite Quantum Dots,"Anja Barfüßer,Sebastian Rieger,Amrita Dey,Ahmet Tosun,Quinten A Akkerman,Tushar Debnath,Jochen Feldmann,Anja Barfüßer,Sebastian Rieger,Amrita Dey,Ahmet Tosun,Quinten A Akkerman,Tushar Debnath,Jochen Feldmann","Quantum dots (QDs) offer unique physical properties and novel application possibilities like single-photon emitters for quantum technologies. While strongly confined III-V and II-VI QDs have been studied extensively, their complex valence band structure often limits clear observations of individual transitions. In recently emerged lead-halide perovskites, band degeneracies are absent around the bandgap reducing the complexity of optical spectra. We show that for spherical-like CsPbBr3 QDs with diameters >6 nm, excitons confine with respect to their center-of-mass motion leading to well-pronounced resonances in their absorption spectra. Optical pumping of the lowest-confined exciton with femtosecond laser pulses not only bleaches all excitons but also reveals a series of distinct induced absorption resonances which we attribute to exciton-to-biexciton transitions and are red-shifted by the biexciton binding energy (∼40 meV). The temporal dynamics of the bleached excitons further support our exciton confinement model. Our study provides the first insight into confined excitons in CsPbBr3 QDs and gives a detailed understanding of their linear and nonlinear optical spectra.",Confined excitons; biexcitons; exciton spin; femtosecond transient absorption spectroscopy; spherical-like perovskite quantum dots.,1
33,A Deep Cascade of Convolutional Neural Networks for Dynamic MR Image Reconstruction,"Schlemper, Jo; Caballero, Jose; Hajnal, Joseph V.; Price, Anthony N.; Rueckert, Daniel","Inspired by recent advances in deep learning, we propose a framework for reconstructing dynamic sequences of 2-D cardiac magnetic resonance (MR) images from undersampled data using a deep cascade of convolutional neural networks (CNNs) to accelerate the data acquisition process. In particular, we address the case where data are acquired using aggressive Cartesian undersampling. First, we show that when each 2-D image frame is reconstructed independently, the proposed method outperforms state-of-the-art 2-D compressed sensing approaches, such as dictionary learning-based MR image reconstruction, in terms of reconstruction error and reconstruction speed. Second, when reconstructing the frames of the sequences jointly, we demonstrate that CNNs can learn spatio-temporal correlations efficiently by combining convolution and data sharing approaches. We show that the proposed method consistently outperforms state-of-the-art methods and is capable of preserving anatomical structure more faithfully up to 11-fold undersampling. Moreover, reconstruction is very fast: each complete dynamic sequence can be reconstructed in less than 10 s and, for the 2-D case, each image frame can be reconstructed in 23 ms, enabling real-time applications.",Deep learning; convolutional neural network; dynamic magnetic resonance imaging; compressed sensing; image reconstruction,0
34,Prospects of Botanical Compounds and Pesticides as Sustainable Management Strategies Against Spodoptera frugiperda,"Patrick Maada Ngegba,Gaofeng Cui,Muhammad Zaryab Khalid,Yun Li,Guohua Zhong,Patrick Maada Ngegba,Gaofeng Cui,Muhammad Zaryab Khalid,Yun Li,Guohua Zhong","Spodoptera frugiperda (J.E. Smith) (Lepidoptera: Noctuidae) (fall armyworm) is an extremely destructive insect pest that causes crop losses, especially cereal production across the world. Its management is challenged by its high migratory ability, polyphagous nature, high fecundity level, and short life cycle. It has become a serious threat across the globe that requires proactive and coordinated regional and global interventions. Although synthetic insecticides have been widely utilized to control the pest, there are numerous inherent challenges associated with the overreliance and overuse of these chemicals, e.g., toxicity to humans, destruction of natural pest enemies and pollinators, environmental and food contamination, pest resurgence, secondary pest outbreaks, and resistance development. Plant-derived pesticides such as Azadirachta indica, Eucalyptus globulus, Jatropha curcas, Lantana camara, Phytolacca dodecandra, and Piper guineense have been evaluated under laboratory, greenhouse, and field conditions to control S. frugiperda. We are certain that the substantial potential of these plants under field conditions could be enhanced and promoted together with existing plant-based products (registered) for use against S. frugiperda as an alternative in integrated pest management schemes. Therefore, this review highlights challenges and prospects that will help refocus and increase research attention on the development and application of botanical pesticides under field conditions rather than only under laboratory and control conditions to increase the commercialization and adoption rate of this technology across the globe.",Spodoptera frugiperda; adoption; botanical pesticide; challenge and prospect; commercialization.,1
35,Artificial Intelligence in Acute Kidney Injury Prediction,"Tushar Bajaj,Jay L Koyner,Tushar Bajaj,Jay L Koyner","The use of artificial intelligence (AI) in nephrology and its associated clinical research is growing. Recent years have seen increased interest in utilizing AI to predict the development of hospital-based acute kidney injury (AKI). Several AI techniques have been employed to improve the ability to detect AKI across a variety of hospitalized settings. This review discusses the evolutions of AKI risk prediction discussing the static risk assessment models of yesteryear as well as the more recent trend toward AI and advanced learning techniques. We discuss the relative improvement in AKI detection as well as the relative dearth of data around the clinical implementation and patient outcomes using these models. The use of AI for AKI detection and clinical care is in its infancy, and this review describes how we arrived at our current position and hints at the promise of the future.",Acute kidney injury; Artificial intelligence; Machine learning; Renal replacement therapy; Risk prediction.,1
36,Occluded thermal face recognition using BoCNN and radial derivative Gaussian feature descriptor,"Kumar, Sumit; Singh, Satish Kumar; Peer, Peter","In this work, we propose a Radial derivative Gaussian feature (RDGF) descriptor, a novel handcrafted feature descriptor for disguised thermal face recognition. The feature encoding has been done so that the performance is least affected by noise and works well over challenging datasets. We propose a cascaded framework that combines two modules, namely BoCNN and the RDGF descriptor. The cascading architecture estimates the performance of BoCNN before classification. It also uses a dynamic classifier selector in run time to choose between handcrafted features and the CNN framework to enhance the overall performance. We also propose a thermal face dataset with partial occlusion. We have compared the performance of the RDGF descriptor with state-of-the-art descriptors on the IIIT-Delhi disguised thermal face dataset and our proposed dataset. RDGF exhibits better performance compared to other state-of-the-art descriptors. Our proposed descriptor shows relative increment of 56.84%, 64.92%, 67.25%, 64.03%, 48.06%, and 7.28% on IIIT-D Occluded Thermal Dataset when compared with LBP, LDP, LBDP, LVP, LGHP, and HOG, respectively. A similar enhancement of accuracy has been observed on our proposed dataset as well. An exhaustive comparison based on the performance of the cascaded framework with state-of-the-art CNN models has also been done in a similar fashion. (c) 2023 Elsevier B.V. All rights reserved.",BoCNN (bag of CNN); Handcrafted features; Convolutional neural network; K-nearest neighbor; Facial occlusion; Thermal faces; Face recognition,0
37,Sketch Recognition: What Lies Ahead?,"Nagpal, Shruti; Vatsa, Mayank; Singh, Richa","What is the state-of-the-art in sketch recognition and what are some important future research directions in matching sketches with digital face images? This opinion paper focuses on answering these questions through proposing three important steps that need to move the field forward: (i) create a large, real world forensic sketch database, (ii) develop fundamental understanding of human cognition of processing sketches, and (iii) develop improved algorithms for matching sketches with mugshot photos. (C) 2016 Elsevier B.V. All rights reserved.",Facial sketch; Face recognition; Biometrics,0
38,Citric acid can enhance the uptake and accumulation of organophosphate esters (OPEs) in Suaeda salsa rhizosphere: Potential for phytoremediation,"Qingzhi Wang,Hongxia Zhao,Tadiyose Girma Bekele,Baocheng Qu,Jingwen Chen,Qingzhi Wang,Hongxia Zhao,Tadiyose Girma Bekele,Baocheng Qu,Jingwen Chen","Bioaccumulation of organophosphate esters (OPEs) by plants has been widely studied, but how root exudates influence their bioavailability to plants is poorly understood. Here, we examined whether root exudates could promote desorption of OPEs, thereby enhancing bioavailability and subsequent accumulation potential. Root exudate components exert great influences on the sorption/desorption isotherms of OPEs in soils, resulting in activating OPEs and enhanced bioavailability. Among root exudate components, citric acid was confirmed to play a crucial role in driving OPEs, with 77.7-90.3 % attribution. Citric acid at rhizosphere levels (0.01-0.4 mM) can successfully reduce OPEs sorption to soils by decreasing electrostatic interaction, ligand exchange, and hydrophobic force. Pot experiments indicated that the addition of citric acid can significantly increase OPEs dissolution and bioaccumulation from the rhizosphere soil to Suaeda salsa. A higher level of citric acid in rhizosphere soil resulted in a higher accumulation of OPEs in Suaeda salsa, which was partly attributed to the enhanced OPEs mobility, and the increased root lengths (13.4-29.0 %) and tip numbers (60.2-120 %), promoting OPEs uptake by roots. Our findings suggest the activation process of OPEs in soils by citric acid at rhizosphere levels and provide insights into designing LMWOAs-enhanced phytoremediation techniques in natural environment.",Bioaccumulation; Bioavailability; Organophosphate esters; Phytoremediation; Root exudate.,1
39,Marginal Space Deep Learning: Efficient Architecture for Volumetric Image Parsing,"Ghesu, Florin C.; Krubasik, Edward; Georgescu, Bogdan; Singh, Vivek; Zheng, Yefeng; Hornegger, Joachim; Comaniciu, Dorin","Robust and fast solutions for anatomical object detection and segmentation support the entire clinical workflow from diagnosis, patient stratification, therapy planning, intervention and follow-up. Current state-of-the-art techniques for parsing volumetric medical image data are typically based on machine learning methods that exploit large annotated image databases. Two main challenges need to be addressed, these are the efficiency in scanning high-dimensional parametric spaces and the need for representative image features which require significant efforts of manual engineering. We propose a pipeline for object detection and segmentation in the context of volumetric image parsing, solving a two-step learning problem: anatomical pose estimation and boundary delineation. For this task we introduce Marginal Space Deep Learning (MSDL), a novel framework exploiting both the strengths of efficient object parametrization in hierarchical marginal spaces and the automated feature design of Deep Learning (DL) network architectures. In the 3D context, the application of deep learning systems is limited by the very high complexity of the parametrization. More specifically 9 parameters are necessary to describe a restricted affine transformation in 3D, resulting in a prohibitive amount of billions of scanning hypotheses. The mechanism of marginal space learning provides excellent run-time performance by learning classifiers in clustered, high-probability regions in spaces of gradually increasing dimensionality. To further increase computational efficiency and robustness, in our system we learn sparse adaptive data sampling patterns that automatically capture the structure of the input. Given the object localization, we propose a DL-based active shape model to estimate the non-rigid object boundary. Experimental results are presented on the aortic valve in ultrasound using an extensive dataset of 2891 volumes from 869 patients, showing significant improvements of up to 45.2% over the state-of-the-art. To our knowledge, this is the first successful demonstration of the DL potential to detection and segmentation in full 3D data with parametrized representations.",Deep learning; image parsing; marginal space learning; sparse representations; three-dimensional (3D) object detection and segmentation,1
40,Relational diversity in social portfolios predicts well-being,"Hanne K Collins,Serena F Hagerty,Jordi Quoidbach,Michael I Norton,Alison Wood Brooks,Hanne K Collins,Serena F Hagerty,Jordi Quoidbach,Michael I Norton,Alison Wood Brooks","We document a link between the relational diversity of one's social portfolio-the richness and evenness of relationship types across one's social interactions-and well-being. Across four distinct samples, respondents from the United States who completed a preregistered survey (n = 578), respondents to the American Time Use Survey (n = 19,197), respondents to the World Health Organization's Study on Global Aging and Adult Health (n = 10,447), and users of a French mobile application (n = 21,644), specification curve analyses show that the positive relationship between social portfolio diversity and well-being is robust across different metrics of well-being, different categorizations of relationship types, and the inclusion of a wide range of covariates. Over and above people's total amount of social interaction and the diversity of activities they engage in, the relational diversity of their social portfolio is a unique predictor of well-being, both between individuals and within individuals over time.",conversation; diversity; relationships; well-being.,1
41,SATE: Providing Stable and Agile Adaptation in HTTP-Based Video Streaming,"Choi, Wangyu; Moon, Jongwon","Online video streaming service, such as Youtube and Netflix, is emerging as a killer application that constitutes most IP traffic. Users want high-quality video streaming service; however, network band-width cannot keep up user's demand. In the HTTP-based video streaming technology, the video provider divides the video into multiple chunks, encodes it at various bitrates, and stores it in the media server. The client requests a video chunk using an adaptive bitrate (ABR) algorithm, considering the network conditions. While there are many works to maximize user satisfaction, the state-of-the-art ABR algorithms are still vulnerable to rebuffering due to inaccurate estimates and decisions. To address this problem, we first analyze the real-world traces and find several design inferences for an efficient ABR algorithm. Then, we introduce SATE, an ABR algorithm that provides a stable and agile adaptation even in bandwidth constraint and dramatically changing network conditions. We evaluate the performance of SATE in various network settings and demonstrate its efficacy in practice. SATE provides a stable adaptation and dramatically reduced rebuffering while delivering a similar average bitrate compared to the state-of-the-art ABR algorithms.",Adaptive bitrate video streaming; HTTP-based video streaming; quality of experience,0
42,"A Survey on Wearable Technology: History, State-of-the-Art and Current Challenges","Ometov, Aleksandr; Shubina, Viktoriia; Klus, Lucie; Skibinska, Justyna; Saafi, Salwa; Pascacio, Pavel; Flueratoru, Laura; Quezada Gaibor, Darwin; Chukhno, Nadezhda; Chukhno, Olga; Ali, Asad; Channa, Asma; Svertoka, Ekaterina; Bin Qaim, Waleed; Casanova-Marques, Raul; Holcer, Sylvia; Torres-Sospedra, Joaquin; Casteleyn, Sven; Ruggeri, Giuseppe; Araniti, Giuseppe; Burget, Radim; Hosek, Jiri; Lohan, Elena Simona","Technology is continually undergoing a constituent development caused by the appearance of billions new interconnected ""things""and their entrenchment in our daily lives. One of the underlying versatile technologies, namely wearables, is able to capture rich contextual information produced by such devices and use it to deliver a legitimately personalized experience. The main aim of this paper is to shed light on the history of wearable devices and provide a state-of-the-art review on the wearable market. Moreover, the paper provides an extensive and diverse classification of wearables, based on various factors, a discussion on wireless communication technologies, architectures, data processing aspects, and market status, as well as a variety of other actual information on wearable technology. Finally, the survey highlights the critical challenges and existing/future solutions.",Wearables; Communications; Standardization; Privacy; Security; Data processing; Interoperability; User adoption; Localization; Classification; Future perspective,0
43,Wireless Power Transmission for Power Supply: State of Art,"Kracek, Jan; Mazanek, Milos","The wireless power supply is motivated by simple and comfortable use of many small electric appliances with low power input. This paper reviews the concepts that are suitable for wireless power transmission with respect to power supply of such appliances in small areas. The categorization of the concepts is made. The efficiency of the concepts is discussed on general base. The reference levels for exposure to electric and magnetic fields are mentioned, and maximal power delivered to an appliance by fulfillment of these levels is considered.",Wireless power transmission; wireless power supply,0
44,"Current Issues within the Perinatal Mental Health Care System in Aichi Prefecture, Japan: A Cross-Sectional Questionnaire Survey","Fujita, Kei; Kotani, Tomomi; Moriyama, Yoshinori; Ushida, Takafumi; Imai, Kenji; Kobayashi-Nakano, Tomoko; Kato, Noriko; Kano, Takeo; Kikkawa, Fumitaka; Kajiyama, Hiroaki","Mental illnesses commonly occur in the reproductive age. This study aimed to identify the issues that exist within the perinatal mental health care system. A cross-sectional survey was conducted in Aichi Prefecture in central Japan. Questionnaires on the situation between 2016 and 2018 were mailed to the head physicians of 128 maternity care units, 21 neonatal intensive care units (NICUs), and 40 assisted reproductive technology (ART) units. A total of 82 (52.6 per 100,000 births) women were admitted to mental health care units during the perinatal period, and 158 (1.0 per 1000 births) neonates born to mothers with mental illness were admitted to NICUs. Approximately 40% of patients were hospitalized in psychiatric hospitals without maternity care units. Eighty-four (71.1%) and 76 (64.4%) maternity care units did not have psychiatrists or social workers, respectively. Moreover, 20-35% of the head physicians in private clinics, general hospitals, and ART units endorsed the discontinuation of psychotropic drug use during pregnancy. However, the corresponding figures were only 5% among those in maternal-fetal centers. Resources for perinatal mental illness might be limited. Perspectives on psychotropic drug use differed based on the type of facilities where the doctors were working.",psychotropic drugs; multidisciplinary; preconception,0
45,Toward Compact ConvNets via Structure-Sparsity Regularized Filter Pruning,"Lin, Shaohui; Ji, Rongrong; Li, Yuchao; Deng, Cheng; Li, Xuelong","The success of convolutional neural networks (CNNs) in computer vision applications has been accompanied by a significant increase of computation and memory costs, which prohibits their usage on resource-limited environments, such as mobile systems or embedded devices. To this end, the research of CNN compression has recently become emerging. In this paper, we propose a novel filter pruning scheme, termed structured sparsity regularization (SSR), to simultaneously speed up the computation and reduce the memory overhead of CNNs, which can be well supported by various off-the-shelf deep learning libraries. Concretely, the proposed scheme incorporates two different regularizers of structured sparsity into the original objective function of filter pruning, which fully coordinates the global output and local pruning operations to adaptively prune filters. We further propose an alternative updating with Lagrange multipliers (AULM) scheme to efficiently solve its optimization. AULM follows the principle of alternating direction method of multipliers (ADMM) and alternates between promoting the structured sparsity of CNNs and optimizing the recognition loss, which leads to a very efficient solver (2.5x to the most recent work that directly solves the group sparsity-based regularization). Moreover, by imposing the structured sparsity, the online inference is extremely memory-light since the number of filters and the output feature maps are simultaneously reduced. The proposed scheme has been deployed to a variety of state-of-the-art CNN structures, including LeNet, AlexNet, VGGNet, ResNet, and GoogLeNet, over different data sets. Quantitative results demonstrate that the proposed scheme achieves superior performance over the state-of-the-art methods. We further demonstrate the proposed compression scheme for the task of transfer learning, including domain adaptation and object detection, which also show exciting performance gains over the state-of-the-art filter pruning methods.",Convolutional neural networks (CNNs); CNN acceleration; CNN compression; structured sparsity,0
46,Single-cell analysis of skeletal muscle macrophages reveals age-associated functional subpopulations,"Linda K Krasniewski,Papiya Chakraborty,Chang-Yi Cui,Krystyna Mazan-Mamczarz,Christopher Dunn,Yulan Piao,Jinshui Fan,Changyou Shi,Tonya Wallace,Cuong Nguyen,Isabelle A Rathbun,Rachel Munk,Dimitrios Tsitsipatis,Supriyo De,Payel Sen,Luigi Ferrucci,Myriam Gorospe,Linda K Krasniewski,Papiya Chakraborty,Chang-Yi Cui,Krystyna Mazan-Mamczarz,Christopher Dunn,Yulan Piao,Jinshui Fan,Changyou Shi,Tonya Wallace,Cuong Nguyen,Isabelle A Rathbun,Rachel Munk,Dimitrios Tsitsipatis,Supriyo De,Payel Sen,Luigi Ferrucci,Myriam Gorospe","Tissue-resident macrophages represent a group of highly responsive innate immune cells that acquire diverse functions by polarizing toward distinct subpopulations. The subpopulations of macrophages that reside in skeletal muscle (SKM) and their changes during aging are poorly characterized. By single-cell transcriptomic analysis with unsupervised clustering, we found 11 distinct macrophage clusters in male mouse SKM with enriched gene expression programs linked to reparative, proinflammatory, phagocytic, proliferative, and senescence-associated functions. Using a complementary classification, membrane markers LYVE1 and MHCII identified four macrophage subgroups: LYVE1-/MHCIIhi (M1-like, classically activated), LYVE1+/MHCIIlo (M2-like, alternatively activated), and two new subgroups, LYVE1+/MHCIIhi and LYVE1-/MHCIIlo. Notably, one new subgroup, LYVE1+/MHCIIhi, had traits of both M2 and M1 macrophages, while the other new subgroup, LYVE1-/MHCIIlo, displayed strong phagocytic capacity. Flow cytometric analysis validated the presence of the four macrophage subgroups in SKM and found that LYVE1- macrophages were more abundant than LYVE1+ macrophages in old SKM. A striking increase in proinflammatory markers (S100a8 and S100a9 mRNAs) and senescence-related markers (Gpnmb and Spp1 mRNAs) was evident in macrophage clusters from older mice. In sum, we have identified dynamically polarized SKM macrophages and propose that specific macrophage subpopulations contribute to the proinflammatory and senescent traits of old SKM.",Lyve1; MHCII; aging; cell biology; flow cytometry; mouse; muscle-resident macrophages; single-cell analysis.,1
47,A Coulomb Force Inspired Loss Function for High-Performance Pedestrian Detection,"Wang, Zhe; Wang, Jun; Yang, Yezhou; Xing, Junliang","Pedestrian detection has received considerable research interest due to its wide application and has made significant progress along with the development of deep neural networks. However, crowd occlusion still remains a significant challenge to current state-of-the-art pedestrian detectors due to the complication in formulating interactions between occluded instances. Inspired by the Coulomb force, we in this work set each proposal as a single electric charge and define the attractive and repulsive forces to model the interaction between ground truths and assigned proposals. This design is driven by two motivations: the attractive force pulls bounding boxes toward their assigned targets, aggregating them compactly around the ground truths. The repulsive force pushes bounding boxes away from other instances, preventing them from shifting to surrounding pedestrians. With this insight, we propose a novel bounding box regression loss and achieve more robust localization performance in crowded scenes without introducing any computational overhead. Extensive experimental evaluations on the CityPersons and CrowdHuman benchmarks demonstrate consistent state-of-the-art performance.",Bounding box regression; Coulomb force; loss function; pedestrian detection,0
